# TITLE= "run52_thmin45_thmax85_rv1e19_f0p01_r1.lev2_emiss.dat"
# Coord_Sys CYLIND
x z var inwind i j
4.994e+16 7.9694e+16 nan -1 2 38
4.994e+16 8.985e+16 nan -1 2 39
4.994e+16 1.013e+17 nan -1 2 40
4.994e+16 1.1421e+17 nan -1 2 41
4.994e+16 1.2876e+17 nan -1 2 42
4.994e+16 1.4517e+17 nan -1 2 43
4.994e+16 1.6367e+17 nan -1 2 44
4.994e+16 1.8453e+17 nan -1 2 45
4.994e+16 2.0804e+17 nan -1 2 46
4.994e+16 2.3455e+17 nan -1 2 47
4.994e+16 2.6444e+17 nan -1 2 48
4.994e+16 2.9814e+17 nan -1 2 49
4.994e+16 3.3613e+17 nan -1 2 50
4.994e+16 3.7896e+17 nan -1 2 51
4.994e+16 4.2725e+17 nan -1 2 52
4.994e+16 4.817e+17 nan -1 2 53
4.994e+16 5.4308e+17 nan -1 2 54
4.994e+16 6.1229e+17 nan -1 2 55
4.994e+16 6.9031e+17 nan -1 2 56
4.994e+16 7.7828e+17 nan -1 2 57
4.994e+16 8.7746e+17 nan -1 2 58
4.994e+16 9.8927e+17 nan -1 2 59
4.994e+16 1.1153e+18 nan -1 2 60
4.994e+16 1.2575e+18 nan -1 2 61
4.994e+16 1.4177e+18 nan -1 2 62
4.994e+16 1.5984e+18 nan -1 2 63
4.994e+16 1.802e+18 nan -1 2 64
4.994e+16 2.0317e+18 nan -1 2 65
4.994e+16 2.2906e+18 nan -1 2 66
4.994e+16 2.5825e+18 nan -1 2 67
4.994e+16 2.9116e+18 nan -1 2 68
4.994e+16 3.2826e+18 nan -1 2 69
4.994e+16 3.7009e+18 nan -1 2 70
4.994e+16 4.1725e+18 nan -1 2 71
4.994e+16 4.7042e+18 nan -1 2 72
4.994e+16 5.3037e+18 nan -1 2 73
4.994e+16 5.9795e+18 nan -1 2 74
4.994e+16 6.7415e+18 nan -1 2 75
4.994e+16 7.6006e+18 nan -1 2 76
4.994e+16 8.5691e+18 nan -1 2 77
4.994e+16 9.6611e+18 nan -1 2 78
4.994e+16 1.0892e+19 nan -1 2 79
4.994e+16 1.228e+19 nan -1 2 80
4.994e+16 1.3845e+19 nan -1 2 81
4.994e+16 1.5609e+19 nan -1 2 82
4.994e+16 1.7598e+19 nan -1 2 83
4.994e+16 1.9841e+19 nan -1 2 84
