# TITLE= "run2_thmin20_thmax35_rv1e19_f1_r5.ioncH1.dat"
# Coord_Sys CYLIND
x z var inwind i j
2.2862e+17 4.594e+19 0.0 -1 1 91
2.2862e+17 5.1795e+19 0.0 -1 1 92
2.2862e+17 5.8395e+19 0.0 -1 1 93
2.2862e+17 6.5836e+19 0.0 -1 1 94
2.2862e+17 7.4226e+19 0.0 -1 1 95
2.2862e+17 8.3685e+19 0.0 -1 1 96
2.2862e+17 9.4349e+19 0.0 -1 1 97
2.2862e+17 1.0637e+20 0.0 -1 1 98
2.2862e+17 1.1993e+20 0.0 -1 1 99
2.4349e+17 442830000000000.0 22772200.000435114 0 2 0
2.4349e+17 942100000000000.0 15654700.000132812 0 2 1
2.4349e+17 1062200000000000.0 14748600.000107547 0 2 2
2.4349e+17 1197500000000000.0 13894600.000091746 0 2 3
2.4349e+17 1350100000000000.0 13089600.000070753 0 2 4
2.4349e+17 1522100000000000.0 12330700.00006349 0 2 5
2.4349e+17 1716100000000000.0 11615300.000055503 0 2 6
2.4349e+17 1934800000000000.0 10940900.000047857 0 2 7
2.4349e+17 2181400000000000.0 10305000.000040563 0 2 8
2.4349e+17 2459300000000000.0 9705390.000034664 0 2 9
2.4349e+17 2772700000000000.0 9139940.000029787 0 2 10
2.4349e+17 3126000000000000.0 8606620.000024198 0 2 11
2.4349e+17 3524400000000000.0 8103550.000020796 0 2 12
2.4349e+17 3973500000000000.0 7628940.000018372 0 2 13
2.4349e+17 4479900000000000.0 7181090.000016218 0 2 14
2.4349e+17 5050800000000000.0 6758410.00001371 0 2 15
2.4349e+17 5694400000000000.0 6359400.000011651 0 2 16
2.4349e+17 6420000000000000.0 5982640.000010452 0 2 17
2.4349e+17 7238100000000000.0 5626790.000009132 0 2 18
2.4349e+17 8160500000000000.0 5290580.000007896 0 2 19
2.4349e+17 9200400000000000.0 4972820.000006829 0 2 20
2.4349e+17 1.0373e+16 4672400.00000614 0 2 21
2.4349e+17 1.1695e+16 4388230.00000525 0 2 22
2.4349e+17 1.3185e+16 4119340.000004545 0 2 23
2.4349e+17 1.4865e+16 3864770.000003964 0 2 24
2.4349e+17 1.6759e+16 3623650.0000034617 0 2 25
2.4349e+17 1.8895e+16 3395130.0000029784 0 2 26
2.4349e+17 2.1303e+16 3178440.000002626 0 2 27
2.4349e+17 2.4017e+16 2972840.0000022682 0 2 28
2.4349e+17 2.7078e+16 2777650.000001957 0 2 29
2.4349e+17 3.0529e+16 2592230.0000016736 0 2 30
2.4349e+17 3.4419e+16 2415990.0000014747 0 2 31
2.4349e+17 3.8805e+16 2248390.0000012517 1 2 32
2.4349e+17 4.375e+16 2088910.0000010913 1 2 33
2.4349e+17 4.9325e+16 1937120.0000009688 1 2 34
2.4349e+17 5.561e+16 1792580.00000086 1 2 35
2.4349e+17 6.2697e+16 1613510.0000007064 1 2 36
2.4349e+17 7.0686e+16 1482270.0000006177 1 2 37
2.4349e+17 7.9694e+16 1357580.000000527 1 2 38
2.4349e+17 8.985e+16 0.0 -1 2 39
